cruise,sample_id,type,stn_start_time_utc,station_id,sample_depth_m,start_lat,start_long,station_depth_m,month.y,day.y,year.y,pressure_db,depth_m,temperature_deg_c,conductivity_ms_cm,salinity_psu,density_kg_m3,specific_volume_(sva),oxygen_raw_V,oxygen_umol_kg,oxygen_saturation_%,spar,timestamp_utc
JB22,CMO-B-1,Rosette,15:15:00,CMO-B,169,61.775,84.321,179,7,25,2022,169.756,168.063,-0.9004,26.747085,32.8327,26.3937,161.329,1.7002,237.414,5.4563,65.513,2022/7/25T15:24:05
JB22,CMO-B-2,Rosette,15:15:00,CMO-B,98,61.775,84.321,179,7,25,2022,101.294,100.3,-0.9908,26.499649,32.6371,26.2382,176.424,1.9086,275.544,6.3317,75.736,2022/7/25T15:28:26
JB22,CMO-B-3,Rosette,15:15:00,CMO-B,60,61.775,84.321,179,7,25,2022,61.974,61.372,-1.2762,25.894304,32.1456,25.8483,213.609,1.988,293.046,6.7313,79.624,2022/7/25T15:31:19
JB22,CMO-B-4,Rosette,15:15:00,CMO-B,52,61.775,84.321,179,7,25,2022,49.801,49.319,-1.1788,25.597666,31.6452,25.4398,252.508,2.218,337.261,7.7439,91.516,2022/7/25T15:33:12
JB22,CMO-B-5,Rosette,15:15:00,CMO-B,40,61.775,84.321,179,7,25,2022,44.703,44.271,-0.9415,25.515717,31.2884,25.1442,280.678,2.3802,364.659,8.3705,99.303,2022/7/25T15:34:55
JB22,CMO-B-6,Rosette,15:15:00,CMO-B,29,61.775,84.321,179,7,25,2022,30.067,29.777,1.9395,26.732953,30.0036,23.9748,392.384,2.5663,370.081,8.4853,107.56,2022/7/25T15:37:00
JB22,CMO-B-7,Rosette,16:44:00,CMO-B,23,61.989,84.288,180,7,25,2022,24.417,24.182,2.8506,27.245811,29.7772,23.7299,415.81,2.552,357.755,8.2007,106.206,2022/7/25T17:00:03
JB22,CMO-B-8,Rosette,16:44:00,CMO-B,10,61.989,84.288,180,7,25,2022,12.294,12.176,9.6824,32.286076,29.3824,22.6196,522.058,2.4098,280.062,6.4128,97.278,2022/7/25T17:02:12
JB22,CMO-B-9,Rosette,16:44:00,CMO-B,surf,61.989,84.288,180,7,25,2022,1.844,1.827,9.7903,32.351776,29.3647,22.5887,524.851,2.4145,279.171,6.3922,97.186,2022/7/25T17:04:44
JB22,CMO-A-1,Rosette,12:06:00,CMO-A,89,59.983,92.062,100,7,27,2022,92.486,91.593,-1.5151,26.076912,32.6368,26.253,174.927,1.8836,275.25,6.325,74.598,2022/7/27T12:11:18
JB22,CMO-A-2,Rosette,12:06:00,CMO-A,60,59.983,92.062,100,7,27,2022,61.55,60.961,-1.5873,25.906412,32.4999,26.1436,185.535,1.9608,289.915,6.6613,78.335,2022/7/27T12:13:56
